format,qname,class_name,file_path,facade_name,sal_fact_ref,source_spec,reviewer_status
abw,abw:c,CharRun,src/python/abw/spec/document/char_run.py,,FACT-ABW-004,structural,ACCEPTED_VERIFIED
abw,abw:abiword,Document,src/python/abw/spec/document/document.py,,FACT-ABW-001,structural,ACCEPTED_VERIFIED
abw,abw:field,Field,src/python/abw/spec/document/field.py,,FACT-ABW-005,structural,ACCEPTED_VERIFIED
abw,abw:p,Paragraph,src/python/abw/spec/document/paragraph.py,,FACT-ABW-003,structural,ACCEPTED_VERIFIED
abw,abw:section,Section,src/python/abw/spec/document/section.py,,FACT-ABW-002,structural,ACCEPTED_VERIFIED
csv,csv:field,Field,src/python/csv/spec/record/field.py,,FACT-CSV-002,structural,ACCEPTED_VERIFIED
csv,csv:record,Record,src/python/csv/spec/record/record.py,,FACT-CSV-001,structural,ACCEPTED_VERIFIED
dif,dif:datum,Datum,src/python/dif/spec/table/datum.py,,FACT-DIF-003,structural,ACCEPTED_VERIFIED
dif,dif:header,Header,src/python/dif/spec/table/header.py,,FACT-DIF-001,structural,ACCEPTED_VERIFIED
dif,dif:vector,Vector,src/python/dif/spec/table/vector.py,,FACT-DIF-002,structural,ACCEPTED_VERIFIED
fodg,draw:page,Page,src/python/fodg/spec/draw/page.py,,FACT-FODG-EX-0417,ODF,ACCEPTED_VERIFIED
fodg,office:document,Document,src/python/fodg/spec/office/document.py,,FACT-FODG-EX-0029,ODF,ACCEPTED_VERIFIED
fodp,draw:page,Page,src/python/fodp/spec/draw/page.py,,FACT-FODP-EX-0417,ODF,ACCEPTED_VERIFIED
fodp,office:document,Document,src/python/fodp/spec/office/document.py,,FACT-FODP-EX-0029,ODF,ACCEPTED_VERIFIED
fods,number:date-style,DateStyle,src/python/fods/spec/number/date_style.py,,FACT-FODS-010,ODF,ACCEPTED_VERIFIED
fods,office:annotation,Annotation,src/python/fods/spec/office/annotation.py,,FACT-FODS-022,ODF,ACCEPTED_VERIFIED
fods,office:automatic-styles,AutomaticStyles,src/python/fods/spec/office/automatic_styles.py,,FACT-FODS-008,ODF,ACCEPTED_VERIFIED
fods,office:body,Body,src/python/fods/spec/office/body.py,,FACT-FODS-003,ODF,ACCEPTED_VERIFIED
fods,office:document,Document,src/python/fods/spec/office/document.py,,FACT-FODS-001,ODF,ACCEPTED_VERIFIED
fods,office:spreadsheet,Spreadsheet,src/python/fods/spec/office/spreadsheet.py,,FACT-FODS-003,ODF,ACCEPTED_VERIFIED
fods,style:style,Style,src/python/fods/spec/style/style.py,,FACT-FODS-009,ODF,ACCEPTED_VERIFIED
fods,table:covered-table-cell,CoveredTableCell,src/python/fods/spec/table/covered_table_cell.py,,FACT-FODS-023,ODF,ACCEPTED_VERIFIED
fods,table:table,Table,src/python/fods/spec/table/table.py,,FACT-FODS-004,ODF,ACCEPTED_VERIFIED
fods,table:table-cell,TableCell,src/python/fods/spec/table/table_cell.py,,FACT-FODS-006,ODF,ACCEPTED_VERIFIED
fods,table:table-column,TableColumn,src/python/fods/spec/table/table_column.py,,FACT-FODS-020,ODF,ACCEPTED_VERIFIED
fods,table:table-header-rows,TableHeaderRows,src/python/fods/spec/table/table_header_rows.py,,FACT-FODS-021,ODF,ACCEPTED_VERIFIED
fods,table:table-row,TableRow,src/python/fods/spec/table/table_row.py,,FACT-FODS-005,ODF,ACCEPTED_VERIFIED
fods,text:p,Paragraph,src/python/fods/spec/text/paragraph.py,,FACT-FODS-007,ODF,ACCEPTED_VERIFIED
fods,text:span,Span,src/python/fods/spec/text/span.py,,FACT-FODS-007,ODF,ACCEPTED_VERIFIED
fodt,office:document,Document,src/python/fodt/spec/office/document.py,,FACT-FODT-001,ODF,ACCEPTED_VERIFIED
fodt,table:table,Table,src/python/fodt/spec/table/table.py,,FACT-FODT-007,ODF,ACCEPTED_VERIFIED
fodt,table:table-cell,TableCell,src/python/fodt/spec/table/table_cell.py,,FACT-FODT-007,ODF,ACCEPTED_VERIFIED
fodt,table:table-row,TableRow,src/python/fodt/spec/table/table_row.py,,FACT-FODT-007,ODF,ACCEPTED_VERIFIED
fodt,text:h,Heading,src/python/fodt/spec/text/heading.py,,FACT-FODT-004,ODF,ACCEPTED_VERIFIED
fodt,text:list,List,src/python/fodt/spec/text/list_.py,,FACT-FODT-005,ODF,ACCEPTED_VERIFIED
fodt,text:list-item,ListItem,src/python/fodt/spec/text/list_item.py,,FACT-FODT-005,ODF,ACCEPTED_VERIFIED
fodt,text:p,Paragraph,src/python/fodt/spec/text/paragraph.py,,FACT-FODT-003,ODF,ACCEPTED_VERIFIED
fodt,text:span,Span,src/python/fodt/spec/text/span.py,,FACT-FODT-006,ODF,ACCEPTED_VERIFIED
gnumeric,gnm:Sheet,Sheet,src/python/gnumeric/spec/workbook/sheet.py,,FACT-GNUMERIC-002,structural,ACCEPTED_VERIFIED
gnumeric,gnm:Workbook,Workbook,src/python/gnumeric/spec/workbook/workbook.py,,FACT-GNUMERIC-001,structural,ACCEPTED_VERIFIED
