file,loc,functions,classes,category
src/python/_shared/__init__.py,18,0,0,product_runtime
src/python/_shared/_base_codec.py,29,2,1,product_runtime
src/python/_shared/_base_parser.py,29,2,1,product_runtime
src/python/_shared/_shared_exceptions.py,31,0,5,product_runtime
src/python/abw/__init__.py,35,0,0,product_runtime
src/python/abw/abw_codec.py,656,38,2,product_runtime
src/python/abw/abw_paragraph_iterator.py,27,1,0,product_runtime
src/python/abw/abw_section_iterator.py,35,1,0,product_runtime
src/python/abw/abw_word_stats.py,247,14,0,product_runtime
src/python/abw/abw_workflow.py,24,1,0,product_runtime
src/python/abw/Compat/__init__.py,10,0,0,product_runtime
src/python/abw/Compat/abw_document.py,48,5,1,product_runtime
src/python/abw/Compat/abw_paragraph.py,36,3,1,product_runtime
src/python/abw/exceptions.py,22,0,3,product_runtime
src/python/abw/models.py,180,27,1,product_runtime
src/python/abw/spec/__init__.py,6,0,0,product_runtime
src/python/abw/spec/document/__init__.py,8,0,0,product_runtime
src/python/abw/spec/document/char_run.py,47,7,1,product_runtime
src/python/abw/spec/document/document.py,63,9,1,product_runtime
src/python/abw/spec/document/field.py,39,5,1,product_runtime
src/python/abw/spec/document/paragraph.py,50,8,1,product_runtime
src/python/abw/spec/document/section.py,55,8,1,product_runtime
src/python/abw/word_document.py,1051,101,0,product_runtime
src/python/csv/__init__.py,35,0,0,product_runtime
src/python/csv/Compat/__init__.py,12,0,0,product_runtime
src/python/csv/Compat/csv_field.py,17,0,1,product_runtime
src/python/csv/Compat/csv_header.py,10,0,1,product_runtime
src/python/csv/Compat/csv_record.py,17,0,1,product_runtime
src/python/csv/csv_analytics.py,180,14,0,product_runtime
src/python/csv/csv_parser.py,422,15,4,product_runtime
src/python/csv/csv_stats.py,180,6,0,product_runtime
src/python/csv/csv_workflow.py,48,1,0,product_runtime
src/python/csv/csv_writer.py,109,4,1,product_runtime
src/python/csv/exceptions.py,22,0,3,product_runtime
src/python/csv/models.py,226,33,1,product_runtime
src/python/csv/spec/__init__.py,5,0,0,product_runtime
src/python/csv/spec/record/__init__.py,6,0,0,product_runtime
src/python/csv/spec/record/field.py,36,5,1,product_runtime
src/python/csv/spec/record/header.py,43,6,1,product_runtime
src/python/csv/spec/record/record.py,42,6,1,product_runtime
src/python/csv/tabular_document.py,579,31,0,product_runtime
src/python/csv/tabular_document_analytics.py,496,41,0,product_runtime
src/python/dif/__init__.py,33,0,0,product_runtime
