sal-facts-20260621: total=0, verified/accepted=0
sal-facts-abw: total=5, verified/accepted=0
sal-facts-csv: total=2, verified/accepted=2
sal-facts-dif: total=3, verified/accepted=3
sal-facts-fodg: total=1066, verified/accepted=1066
sal-facts-fodp: total=1066, verified/accepted=1066
sal-facts-fods: total=4988, verified/accepted=4988
sal-facts-fodt: total=4936, verified/accepted=4298
sal-facts-gnumeric: total=3, verified/accepted=3
sal-facts-latest: total=0, verified/accepted=0
sal-facts-ndjson: total=2, verified/accepted=2
sal-facts-ods: total=1069, verified/accepted=1069
sal-facts-odt: total=1066, verified/accepted=1066
sal-facts-ora: total=0, verified/accepted=0
sal-facts-pam: total=0, verified/accepted=0
sal-facts-pbm: total=2, verified/accepted=2
sal-facts-pgm: total=2, verified/accepted=2
sal-facts-ppm: total=2, verified/accepted=2
sal-facts-qoi: total=2, verified/accepted=2
sal-facts-sylk: total=3, verified/accepted=3
sal-facts-toml: total=2, verified/accepted=2
sal-facts-tsv: total=2, verified/accepted=2
sal-facts-xcf: total=2, verified/accepted=2
sal-facts-xpm: total=0, verified/accepted=0
sal-facts-zpaq: total=0, verified/accepted=0
sal-facts-zst: total=94, verified/accepted=94
