platform,format,path,extension,lines
net,_readme.md,net/_readme.md,.md,100
net,csv,net/csv/CsvDocument.cs,.cs,102
net,csv,net/csv/CsvReader.cs,.cs,143
net,csv,net/csv/CsvWriter.cs,.cs,106
net,csv,net/csv/FormatFactory.Csv.csproj,.csproj,22
net,fods,net/fods/FodsCsvExporter.cs,.cs,292
net,fods,net/fods/FodsDocument.cs,.cs,1294
net,fods,net/fods/FodsDocumentExporter.cs,.cs,207
net,fods,net/fods/FodsHtmlExporter.cs,.cs,202
net,fods,net/fods/FodsJsonExporter.cs,.cs,189
net,fods,net/fods/FodsOdsExporter.cs,.cs,245
net,fods,net/fods/FodsParser.cs,.cs,287
net,fods,net/fods/FodsPdfExporter.cs,.cs,385
net,fods,net/fods/FodsPngExporter.cs,.cs,332
net,fods,net/fods/FodsWriter.cs,.cs,57
net,fods,net/fods/FormatFactory.Fods.csproj,.csproj,41
net,fods,net/fods/README.md,.md,65
net,fods,net/fods/Exceptions/FodsDocumentException.cs,.cs,14
net,fods,net/fods/Model/FodsCell.cs,.cs,75
net,fods,net/fods/Model/FodsRow.cs,.cs,49
net,fods,net/fods/Model/FodsSheet.cs,.cs,50
net,fodt,net/fodt/FodtDocument.cs,.cs,978
net,fodt,net/fodt/FodtHtmlExporter.cs,.cs,198
net,fodt,net/fodt/FodtMarkdownExporter.cs,.cs,190
net,fodt,net/fodt/FodtParser.cs,.cs,321
net,fodt,net/fodt/FodtPdfExporter.cs,.cs,332
net,fodt,net/fodt/FodtPngExporter.cs,.cs,313
net,fodt,net/fodt/FodtTxtExporter.cs,.cs,168
net,fodt,net/fodt/FodtWriter.cs,.cs,56
net,fodt,net/fodt/FormatFactory.Fodt.csproj,.csproj,41
net,fodt,net/fodt/README.md,.md,65
net,fodt,net/fodt/Model/FodtBody.cs,.cs,51
net,fodt,net/fodt/Model/FodtParagraph.cs,.cs,81
net,html,net/html/FormatFactory.Html.csproj,.csproj,22
net,html,net/html/HtmlWriter.cs,.cs,119
net,markdown,net/markdown/FormatFactory.Markdown.csproj,.csproj,22
net,markdown,net/markdown/MarkdownWriter.cs,.cs,85
net,ndjson,net/ndjson/FormatFactory.Ndjson.csproj,.csproj,20
net,ndjson,net/ndjson/NdjsonCsvExporter.cs,.cs,97
net,ndjson,net/ndjson/NdjsonDocument.cs,.cs,82
net,ndjson,net/ndjson/NdjsonException.cs,.cs,14
net,ndjson,net/ndjson/NdjsonReader.cs,.cs,107
net,ndjson,net/ndjson/NdjsonWriter.cs,.cs,60
net,netpbm,net/netpbm/FormatFactory.Netpbm.csproj,.csproj,32
net,netpbm,net/netpbm/NetpbmException.cs,.cs,30
net,netpbm,net/netpbm/NetpbmExporter.cs,.cs,179
net,netpbm,net/netpbm/NetpbmParser.cs,.cs,325
net,netpbm,net/netpbm/NetpbmWriter.cs,.cs,209
net,netpbm,net/netpbm/README.md,.md,45
net,netpbm,net/netpbm/Model/NetpbmImage.cs,.cs,1915
net,tsv,net/tsv/FormatFactory.Tsv.csproj,.csproj,20
net,tsv,net/tsv/TsvCsvExporter.cs,.cs,65
net,tsv,net/tsv/TsvDocument.cs,.cs,111
net,tsv,net/tsv/TsvException.cs,.cs,12
net,tsv,net/tsv/TsvReader.cs,.cs,101
net,tsv,net/tsv/TsvWriter.cs,.cs,82
net,txt,net/txt/FormatFactory.Txt.csproj,.csproj,22
net,txt,net/txt/TxtWriter.cs,.cs,71
net,zst,net/zst/FormatFactory.Zst.csproj,.csproj,27
net,zst,net/zst/ZstDocument.cs,.cs,62
net,zst,net/zst/ZstParser.cs,.cs,148
net,zst,net/zst/Exceptions/ZstException.cs,.cs,35
python,_readme.md,python/_readme.md,.md,101
python,_shared,python/_shared/_base_codec.py,.py,30
python,_shared,python/_shared/_base_parser.py,.py,30
python,_shared,python/_shared/_shared_exceptions.py,.py,32
python,_shared,python/_shared/__init__.py,.py,19
python,abw,python/abw/abw_codec.py,.py,1504
python,abw,python/abw/pyproject.toml,.toml,15
python,abw,python/abw/README.md,.md,53
python,abw,python/abw/__init__.py,.py,213
python,csv,python/csv/csv_parser.py,.py,1329
python,csv,python/csv/csv_stats.py,.py,187
python,csv,python/csv/csv_writer.py,.py,110
python,csv,python/csv/pyproject.toml,.toml,15
python,csv,python/csv/__init__.py,.py,200
python,dif,python/dif/dif_parser.py,.py,1665
python,dif,python/dif/dif_stats.py,.py,219
python,dif,python/dif/pyproject.toml,.toml,15
python,dif,python/dif/__init__.py,.py,220
python,fodg,python/fodg/fodg_analytics.py,.py,4916
python,fodg,python/fodg/fodg_codec.py,.py,1477
python,fodg,python/fodg/pyproject.toml,.toml,15
python,fodg,python/fodg/README.md,.md,55
python,fodg,python/fodg/__init__.py,.py,31
python,fodp,python/fodp/fodp_codec.py,.py,813
python,fodp,python/fodp/pyproject.toml,.toml,15
python,fodp,python/fodp/README.md,.md,52
python,fodp,python/fodp/__init__.py,.py,158
python,fods,python/fods/constants.py,.py,105
python,fods,python/fods/csv_exporter.py,.py,125
python,fods,python/fods/exceptions.py,.py,41
python,fods,python/fods/models.py,.py,131
python,fods,python/fods/neutral_model.py,.py,2195
python,fods,python/fods/parser.py,.py,468
python,fods,python/fods/pyproject.toml,.toml,15
python,fods,python/fods/README.md,.md,63
python,fods,python/fods/writer.py,.py,183
python,fods,python/fods/__init__.py,.py,213
python,fods,python/fods/fods/constants.py,.py,105
python,fods,python/fods/fods/csv_exporter.py,.py,125
python,fods,python/fods/fods/exceptions.py,.py,41
python,fods,python/fods/fods/models.py,.py,131
python,fods,python/fods/fods/neutral_model.py,.py,2195
python,fods,python/fods/fods/parser.py,.py,468
python,fods,python/fods/fods/writer.py,.py,183
python,fods,python/fods/fods/__init__.py,.py,213
python,fods,python/fods/fods/fods/constants.py,.py,105
